max.pop	max.age	min.rep	max.rep	fertility	survival.time
24	80	20	40	0.2	1502
28	80	20	40	0.2	758
32	80	20	40	0.2	372
4	80	20	40	0.2	107
8	80	20	40	0.2	91
12	80	20	40	0.2	478
16	80	20	40	0.2	307
20	80	20	40	0.2	1040
24	80	20	40	0.2	1534
28	80	20	40	0.2	869
32	80	20	40	0.2	122
4	80	20	40	0.2	68
8	80	20	40	0.2	177
12	80	20	40	0.2	68
16	80	20	40	0.2	183
20	80	20	40	0.2	1527
24	80	20	40	0.2	179
28	80	20	40	0.2	746
32	80	20	40	0.2	3260
4	80	20	40	0.2	52
8	80	20	40	0.2	106
12	80	20	40	0.2	522
16	80	20	40	0.2	102
20	80	20	40	0.2	346
24	80	20	40	0.2	134
28	80	20	40	0.2	2068
32	80	20	40	0.2	1708
4	80	20	40	0.2	192
8	80	20	40	0.2	132
12	80	20	40	0.2	458
16	80	20	40	0.2	545
20	80	20	40	0.2	688
24	80	20	40	0.2	113
28	80	20	40	0.2	335
32	80	20	40	0.2	701
4	80	20	40	0.2	113
8	80	20	40	0.2	108
12	80	20	40	0.2	348
16	80	20	40	0.2	260
20	80	20	40	0.2	1790
24	80	20	40	0.2	3327
28	80	20	40	0.2	1354
32	80	20	40	0.2	886
4	80	20	40	0.2	70
8	80	20	40	0.2	100
12	80	20	40	0.2	213
16	80	20	40	0.2	684
20	80	20	40	0.2	104
24	80	20	40	0.2	269
28	80	20	40	0.2	1091
32	80	20	40	0.2	7379
4	80	20	40	0.2	103
8	80	20	40	0.2	327
12	80	20	40	0.2	441
16	80	20	40	0.2	291
20	80	20	40	0.2	361
24	80	20	40	0.2	2520
28	80	20	40	0.2	2350
32	80	20	40	0.2	1902
4	80	20	40	0.2	64
8	80	20	40	0.2	63
12	80	20	40	0.2	114
16	80	20	40	0.2	365
20	80	20	40	0.2	82
24	80	20	40	0.2	209
28	80	20	40	0.2	174
32	80	20	40	0.2	1614
4	80	20	40	0.2	53
8	80	20	40	0.2	235
12	80	20	40	0.2	246
16	80	20	40	0.2	347
20	80	20	40	0.2	1438
24	80	20	40	0.2	1963
28	80	20	40	0.2	1227
32	80	20	40	0.2	6272
4	80	20	40	0.2	76
8	80	20	40	0.2	76
12	80	20	40	0.2	147
16	80	20	40	0.2	138
20	80	20	40	0.2	252
24	80	20	40	0.2	4886
28	80	20	40	0.2	2586
32	80	20	40	0.2	4095
4	80	20	40	0.2	77
8	80	20	40	0.2	48
12	80	20	40	0.2	551
16	80	20	40	0.2	101
20	80	20	40	0.2	817
24	80	20	40	0.2	540
28	80	20	40	0.2	1359
32	80	20	40	0.2	546
4	80	20	40	0.2	223
8	80	20	40	0.2	93
12	80	20	40	0.2	111
16	80	20	40	0.2	227
20	80	20	40	0.2	398
24	80	20	40	0.2	130
28	80	20	40	0.2	944
32	80	20	40	0.2	26204
4	80	20	40	0.2	141
8	80	20	40	0.2	75
12	80	20	40	0.2	150
16	80	20	40	0.2	253
20	80	20	40	0.2	729
24	80	20	40	0.2	298
28	80	20	40	0.2	527
32	80	20	40	0.2	9391
4	80	20	40	0.2	91
